"month","country","weather"
"1","afg","Rain"
"1","alb","Rain"
"1","dza","Rain"
"1","and","Snow"
"1","ago","Warm"
"1","arg","Warm"
"1","arm","Snow"
"1","aut","Snow"
"1","aze","Rain"
"1","bhr","Rain"
"1","bgd","Rain"
"1","blr","Snow"
"1","bel","Rain"
"1","blz","Warm"
"1","ben","Warm"
"1","bmu","Rain"
"1","btn","Rain"
"1","bol","Rain"
"1","bih","Rain"
"1","bwa","Warm"
"1","bra","Warm"
"1","brn","Warm"
"1","bgr","Snow"
"1","bfa","Warm"
"1","bdi","Warm"
"1","cpv","Warm"
"1","khm","Warm"
"1","cmr","Warm"
"1","can","Snow"
"1","caf","Warm"
"1","tcd","Warm"
"1","chl","Rain"
"1","chn","Snow"
"1","col","Warm"
"1","com","Warm"
"1","cog","Warm"
"1","cri","Rain"
"1","civ","Warm"
"1","hrv","Rain"
"1","cyp","Rain"
"1","cze","Snow"
"1","cod","Warm"
"1","dnk","Rain"
"1","dji","Warm"
"1","ecu","Warm"
"1","egy","Rain"
"1","slv","Warm"
"1","gnq","Warm"
"1","eri","Rain"
"1","est","Snow"
"1","eth","Rain"
"1","fin","Snow"
"1","fra","Rain"
"1","gab","Warm"
"1","gmb","Warm"
"1","geo","Rain"
"1","deu","Snow"
"1","gha","Warm"
"1","gib","Rain"
"1","grc","Rain"
"1","grl","Rain"
"1","gtm","Rain"
"1","ggy","Warm"
"1","gnb","Warm"
"1","gin","Warm"
"1","guy","Warm"
"1","hnd","Warm"
"1","hun","Snow"
"1","isl","Snow"
"1","ind","Rain"
"1","idn","Warm"
"1","irn","Rain"
"1","irq","Rain"
"1","irl","Rain"
"1","isr","Rain"
"1","ita","Rain"
"1","jpn","Rain"
"1","jey","Warm"
"1","jor","Rain"
"1","kaz","Snow"
"1","ken","Warm"
"1","kwt","Rain"
"1","kgz","Snow"
"1","lao","Warm"
"1","lva","Snow"
"1","lbn","Rain"
"1","lso","Rain"
"1","lbr","Warm"
"1","lby","Rain"
"1","lie","Rain"
"1","ltu","Snow"
"1","lux","Rain"
"1","mkd","Rain"
"1","mdg","Warm"
"1","mwi","Warm"
"1","mys","Warm"
"1","mdv","Warm"
"1","mli","Warm"
"1","mlt","Rain"
"1","mrt","Warm"
"1","mus","Warm"
"1","myt","Warm"
"1","mex","Rain"
"1","mda","Snow"
"1","mco","Rain"
