country,1,2,3,4,5,6,7,8,9,10,11,12
afg,Rain,Rain,Rain,Rain,Rain,Warm,Warm,Warm,Warm,Rain,Rain,Rain
alb,Rain,Rain,Rain,Rain,Rain,Warm,Warm,Warm,Rain,Rain,Rain,Rain
dza,Rain,Rain,Rain,Rain,Rain,Warm,Warm,Warm,Warm,Rain,Rain,Rain
and,Snow,Snow,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Snow
ago,Warm,Warm,Warm,Warm,Warm,Rain,Rain,Rain,Warm,Warm,Warm,Warm
arg,Warm,Warm,Warm,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Warm,Warm
arm,Snow,Snow,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Snow
aut,Snow,Snow,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Snow
aze,Rain,Rain,Rain,Rain,Rain,Warm,Warm,Warm,Warm,Rain,Rain,Rain
bhr,Rain,Rain,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Rain
bgd,Rain,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Rain
blr,Snow,Snow,Snow,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Snow
bel,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain
blz,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
ben,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
bmu,Rain,Rain,Rain,Rain,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Rain
btn,Rain,Rain,Rain,Rain,Rain,Warm,Rain,Warm,Warm,Rain,Rain,Rain
bol,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain
bih,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain
bwa,Warm,Warm,Warm,Warm,Rain,Rain,Rain,Rain,Warm,Warm,Warm,Warm
bra,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
brn,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
bgr,Snow,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain
bfa,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
bdi,Warm,Warm,Warm,Warm,Rain,Rain,Rain,Warm,Warm,Warm,Rain,Rain
cpv,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
khm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
cmr,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
can,Snow,Snow,Snow,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Snow,Snow
caf,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
tcd,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
chl,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain
chn,Snow,Rain,Rain,Rain,Rain,Warm,Warm,Warm,Warm,Rain,Rain,Rain
col,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
com,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
cog,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
cri,Rain,Rain,Rain,Rain,Rain,Rain,Warm,Warm,Rain,Rain,Rain,Rain
civ,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
hrv,Rain,Rain,Rain,Rain,Rain,Rain,Warm,Warm,Rain,Rain,Rain,Rain
cyp,Rain,Rain,Rain,Rain,Warm,Warm,Warm,Warm,Warm,Warm,Rain,Rain
cze,Snow,Snow,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Snow
cod,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
dnk,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain
dji,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
ecu,Warm,Warm,Warm,Warm,Warm,Rain,Rain,Rain,Rain,Rain,Rain,Warm
egy,Rain,Rain,Rain,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Rain,Rain
slv,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
gnq,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
eri,Rain,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm,Warm
est,Snow,Snow,Snow,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Snow
eth,Rain,Rain,Warm,Warm,Warm,Warm,Rain,Rain,Rain,Rain,Rain,Rain
